Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
AU,Australia,1981,MF,  211.818, 1 854.729,11.4,  182.067, 4 955.611,3.1,  393.885,53.8, 2 570.37,8.2,3.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1982,MF,  257.337, 1 858.369,13.8,  237.589, 5 051.447,2.9,  494.926,52.0, 2 589.956,9.9,4.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1983,MF,  339.516, 1 855.055,18.3,  357.522, 5 142.354,2.6,  697.038,48.7, 2 602.115,13.0,7.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1984,MF,  310.921, 1 853.723,16.8,  330.294, 5 281.343,2.7,  641.215,48.5, 2 610.149,11.9,6.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1985,MF,  283.541, 1 871.123,15.2,  319.327, 5 429.168,2.6,  602.868,47.0, 2 627.367,10.8,5.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1986 b,MF,  287.837, 1 913.09,15.0,  325.285, 5 674.52,2.6,  613.122,46.9, 2 656.855,10.8,5.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1987,MF,  285.88, 1 914.461,14.9,  342.981, 5 843.133,2.5,  628.861,45.5, 2 685.285,10.6,5.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1988,MF,  258.019, 1 923.478,13.4,  318.2, 6 050.983,2.6,  576.219,44.8, 2 707.669,9.5,5.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1989,MF,  218.875, 1 962.148,11.2,  289.192, 6 265.687,2.4,  508.067,43.1, 2 721.662,8.0,4.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1990,MF,  256.563, 1 970.568,13.0,  328.24, 6 473.053,2.6,  584.803,43.9, 2 732.966,9.4,5.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1991,MF,  334.566, 1 908.135,17.5,  479.903, 6 581.899,2.4,  814.469,41.1, 2 733.233,12.2,7.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1992,MF,  368.55, 1 898.931,19.4,  556.542, 6 663.069,2.3,  925.092,39.8, 2 729.516,13.5,8.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1993 b,MF,  350.571, 1 874.524,18.7,  588.574, 6 744.196,2.1,  939.145,37.3, 2 720.742,12.9,8.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1994,MF,  326.332, 1 913.022,17.1,  529.17, 6 863.118,2.2,  855.502,38.1, 2 707.681,12.1,7.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1995,MF,  295.625, 1 924.042,15.4,  468.871, 7 076.099,2.3,  764.496,38.7, 2 678.442,11.0,6.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1996,MF,  298.803, 1 906.602,15.7,  480.615, 7 212.678,2.4,  779.418,38.3, 2 659.112,11.2,6.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1997,MF,  299.129, 1 861.607,16.1,  478.888, 7 345.118,2.5,  778.017,38.4, 2 651.218,11.3,6.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1998,MF,  272.834, 1 866.585,14.6,  447.787, 7 472.069,2.4,  720.621,37.9, 2 660.559,10.3,6.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1999,MF,  244.898, 1 839.418,13.3,  407.586, 7 574.816,2.5,  652.484,37.5, 2 612.306,9.4,5.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2000,MF,  222.394, 1 841.328,12.1,  379.473, 7 749.159,2.5,  601.867,37.0, 2 607.977,8.5,4.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2001 b,MF,  252.79, 1 868.788,13.5,  405.565, 7 877.429,2.6,  658.355,38.4, 2 642.008,9.6,5.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory
Survey limitation: Questionnaire and definitions revised."
AU,Australia,2002,MF,  240.141, 1 878.327,12.8,  389.846, 8 022.877,2.6,  629.987,38.1, 2 684.218,8.9,4.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2003,MF,  229.607, 1 916.647,12.0,  369.804, 8 167.954,2.6,  599.411,38.3, 2 730.216,8.4,4.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2004,MF,  221.242, 1 947.033,11.4,  329.913, 8 265.859,2.8,  551.155,40.1, 2 774.395,8.0,4.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2005,MF,  212.954, 1 999.9,10.6,  318.212, 8 529.06,2.9,  531.166,40.1, 2 824.084,7.5,3.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2006,MF,  204.712, 2 038.52,10.0,  311.235, 8 734.293,2.8,  515.947,39.7, 2 877.064,7.1,3.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2007,MF,  195.127, 2 084.494,9.4,  289.265, 8 975.574,2.9,  484.392,40.3, 2 943.178,6.6,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2008,MF,  188.818, 2 137.708,8.8,  293.7, 9 217.996,2.8,  482.518,39.1, 3 019.42,6.3,3.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2009,MF,  246.254, 2 140.568,11.5,  402.537, 9 461.086,2.7,  648.791,38.0, 3 093.323,8.0,4.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2010,MF,  249.488, 2 163.57,11.5,  371.272, 9 704.145,3.0,  620.76,40.2, 3 153.984,7.9,3.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AT,Austria,1981,MF,  23.3,,,  41.8,,,  65.1,35.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1982,MF,  39.8,  763.5,5.2,  70.0, 2 515.3,1.9,  109.8,36.2, 1 256.2,3.2,2.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1983,MF,  47.5,  773.9,6.1,  87.7, 2 519.6,1.8,  135.2,35.1, 1 257.0,3.8,3.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1984,MF,  42.2,  827.5,5.1,  85.5, 2 535.5,1.5,  127.7,33.0, 1 284.6,3.3,3.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1985,MF,  34.7,  809.2,4.3,  86.0, 2 546.1,1.3,  120.7,28.7, 1 276.0,2.7,3.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1986,MF,  31.9,  808.5,3.9,  73.7, 2 579.6,1.4,  105.6,30.2, 1 261.6,2.5,2.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1987 b,MF,  40.6,  813.2,5.0,  89.4, 2 616.7,1.5,  130.0,31.2, 1 238.1,3.3,3.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1988,MF,  35.6,  779.2,4.6,  86.3, 2 653.1,1.4,  121.9,29.2, 1 209.1,2.9,3.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1989,MF,  30.9,  748.6,4.1,  77.6, 2 706.6,1.4,  108.5,28.5, 1 177.4,2.6,2.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1990,MF,  28.0,  737.0,3.8,  86.8, 2 798.0,1.2,  114.8,24.4, 1 166.0,2.4,3.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1991,MF,  27.3,  734.6,3.7,  96.1, 2 872.6,1.1,  123.4,22.1, 1 154.8,2.4,3.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1992,MF,  29.9,  724.0,4.1,  102.1, 2 955.1,1.2,  132.0,22.7, 1 125.0,2.7,3.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1993,MF,  32.2,  690.8,4.7,  126.5, 3 043.4,1.1,  158.7,20.3, 1 119.5,2.9,4.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1994 b,MF,  31.226,  629.204,5.0,  102.68, 3 158.948,1.5,  133.906,23.3, 1 010.743,3.1,3.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1995,MF,  30.649,  593.897,5.2,  108.68, 3 214.995,1.5,  139.329,22.0,  984.347,3.1,3.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1996,MF,  36.004,  569.065,6.3,  119.404, 3 203.41,1.7,  155.408,23.2,  959.604,3.8,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1997,MF,  34.801,  549.501,6.3,  124.053, 3 230.641,1.6,  158.854,21.9,  941.734,3.7,3.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1998,MF,  30.624,  532.075,5.8,  128.97, 3 254.559,1.5,  159.594,19.2,  931.708,3.3,4.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1999,MF,  26.705,  525.405,5.1,  114.908, 3 285.419,1.5,  141.613,18.9,  927.096,2.9,3.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2000,MF,  26.318,  516.219,5.1,  107.443, 3 303.244,1.6,  133.761,19.7,  927.296,2.8,3.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2001,MF,  28.643,  509.128,5.6,  108.422, 3 339.118,1.7,  137.065,20.9,  930.392,3.1,3.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2002,MF,  31.79,  513.109,6.2,  124.367, 3 405.177,1.7,  156.157,20.4,  930.091,3.4,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2003,MF,  36.478,  518.117,7.0,  133.097, 3 444.998,1.8,  169.575,21.5,  941.906,3.9,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2004,MF,  53.6,  553.1,9.7,  140.5, 3 385.5,2.3,  194.1,27.6,  962.8,5.6,4.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2005,MF,  60.1,  581.7,10.3,  147.8, 3 450.5,2.4,  207.9,28.9,  983.3,6.1,4.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2006,MF,  53.1,  586.5,9.1,  142.4, 3 537.3,2.2,  195.5,27.2,  986.8,5.4,4.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2007,MF,  52.18,  602.038,8.7,  133.383, 3 611.446,2.3,  185.563,28.1,  990.176,5.3,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2008,MF,  48.6,  603.6,8.1,  113.8, 3 648.4,2.6,  162.4,29.9,  993.5,4.9,3.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2009,MF,  59.8,  600.2,10.0,  144.3, 3 682.0,2.5,  204.1,29.3,  992.0,6.0,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2010,MF,  51.433,  582.183,8.8,  136.74, 3 702.437,2.4,  188.173,27.3,  989.477,5.2,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AZ,Azerbaijan,1999,MF,  117.6,  638.1,18.4,  435.2, 2 762.2,1.2,  552.8,21.3, 1 242.2,9.5,15.8,LABORSTA,PC,T,Youth: 16-24; Adult: 25+,Reference period: January
AZ,Azerbaijan,2003 b,MF,  165.6,,,  239.1,,,  404.7,40.9,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
AZ,Azerbaijan,2004,MF,  142.8,,,  205.9,,,  348.7,41.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
AZ,Azerbaijan,2005 b,MF,  128.6,,,  189.2,,,  317.8,40.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2006,MF,  118.6,,,  172.6,,,  291.2,40.7,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2007,MF,  90.8,  646.7,14.0,  190.2, 3 615.6,2.7,  281.0,32.3, 1 797.4,5.1,5.3,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2008,MF,  93.1,  644.7,14.4,  168.3, 3 672.7,3.2,  261.4,35.6, 1 807.8,5.1,4.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2009 b,MF,  90.783,  624.089,14.5,  169.409, 3 707.698,3.2,  260.192,34.9,,,4.6,NSO,LFS,C,Youth: 15-24; Adult: 25-64,
BS,Bahamas,1986,MF,  7.555,,,  5.835,,,  13.39,56.4,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
